metric,baseline,black_friday,baseline_rate,diff,ci_low,ci_high,black_friday_n,baseline_n
cart_abandonment,corrected_excludes_nov14_17,0.543362030759366,0.538843968875021,0.004518061884345004,0.0024694992629103406,0.0065666245057796665,318147,795117
cart_abandonment,naive_includes_nov14_17,0.543362030759366,0.6667803904954562,-0.12341835973609028,-0.12528248988696777,-0.12155422958521278,318147,1782095
cart_rate,corrected_excludes_nov14_17,0.1170956209930635,0.09208504325286127,0.02501057774020224,0.02456219063286366,0.02545896484754082,2390542,9199507
cart_rate,naive_includes_nov14_17,0.1170956209930635,0.13427916290040168,-0.017183541907338173,-0.017632866516381206,-0.01673421729829514,2390542,12490270
purchase_rate,corrected_excludes_nov14_17,0.0560375011189931,0.05246889860511003,0.003568602513883065,0.003243384606802971,0.0038938204209631594,2390542,9199507
purchase_rate,naive_includes_nov14_17,0.0560375011189931,0.05680485690061143,-7.673557816183368E-4,-0.001085922580253998,-4.4878898298267566E-4,2390542,12490270
